	tweet_created_at	tweet_text	tweet_user_screen_name
116	2017-05-09 08:04:13	#AI: IBM's Watson 'is a joke,' says Social Capital CEO Palihapi... #ArtificialIntelligence https://t.co/X09wwdnTT1 https://t.co/Fl38ZDnJgM	marcpicaud
117	2017-05-09 07:57:12	Don't hold back! IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/FpGAAhMVcK #AI	drlynnphd
118	2017-05-09 09:02:07	IBM's Watson 'is a joke,' says Social Capital CEO @chamath Palihapitiya https://t.co/5ATpbHpfvk	ediggs
119	2017-05-09 09:21:22	#IBMWatson is a #joke - @SocialCapital #CEO @Chamath https://t.co/vqO91RXELS #Sohn2017 #AI #SohnConference… https://t.co/jU6EpZGPYD	rajeevgm
120	2017-05-09 10:22:25	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya - https://t.co/Tj3t703G5E via https://t.co/En4W8w4QHZ	vanja180700
121	2017-05-09 10:37:56	"'Watson is a joke,"" @chamath ""IBM is excellent using marketing to convince people w less knowledge to pay"" https://t.co/ZBUFykdQIQ"	gudjon
122	2017-05-09 09:49:27	No laughing matter. IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/ZgshqIYjBE	gatgman
123	2017-05-09 10:52:05	Ouch! IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/lNUUpJrV2W	mikelacare
124	2017-05-09 11:12:32	@IBM's #Watson 'is a joke,' says @chamath  https://t.co/M0ed69HHWG	veevenk
125	2017-05-09 12:11:03	Wow! IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/SO2pPVveEO https://t.co/SO2pPVveEO	markaeveritt
126	2017-05-09 11:46:50	IBM's Watson 'is a joke,' Social Capital Palihapitiya https://t.co/e4OLAu4kmn  betting on $AMZN is a better choice for #AI #automation	blogsofstuff
127	2017-05-09 11:33:55	@chamath calls @IBMWatson a joke. #AI unraveling? https://t.co/czVDmfVHC1	ABHISHEKXSINGH
128	2017-05-09 12:32:54	@chamath quit embarrassing yourself with your phony claims re IBM Watson.	BobboGo78
129	2017-05-09 12:31:14	@chamath @andrewrsorkin @MelissaLeeCNBC $IBM is a bloated, no-growth, bureaucratic company trying to hide this all with the facade of Watson	OracleofWallSt
130	2017-05-09 13:04:25	.@chamath just killing Oracle and IBM yesterday. Refreshing. https://t.co/2CtjqR5vYi	samwdii
131	2017-05-09 12:22:57	#Innovate: Palihapitiya: IBM's Watson is a joke https://t.co/Dck3tOpJou, see more https://t.co/FrPQlfbyvj	innowatcher
132	2017-05-09 13:00:32	@sallyshin @RiskReversal @chamath Soooooo with all that said, How is @chamath figuring #IBMWatson is a Joke?!? Maybe I'm confused..??	HoodSavior
133	2017-05-09 13:00:33	RT: @HoodSavior-@sallyshin @RiskReversal @chamath Soooooo with all that said, How is @chamath figuring #IBMWatson is a Joke?!? Maybe I'm c	MartinaJnkrs
134	2017-05-09 12:13:24	@andrewmaxr This guy kind of sounds stupid. #notthatwatson IBM's Watson 'is a joke,':Social Capital CEO Palihapitiya https://t.co/LzdB6YFF4b	JeffWilson913
135	2017-05-09 12:56:15	"Shots fired 🔫🔫. ""@IBMWatson is a joke"" -@chamath https://t.co/eZptBnRKuO"	idealexit
136	2017-05-09 12:24:17	@chamath don't think Echo can do this. Alexa is a joke IBM 's Watson is so far ahead https://t.co/r1cAMsXRyA	JessieLivermore
137	2017-05-09 12:54:00	Watson and 911 I guess &gt;&gt; IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya https://t.co/W1c9pICnYA https://t.co/PBogztdr75	adamhonig
138	2017-05-09 12:25:04	"IBM responds to @chamath's comments referencing Watson as ""a joke"".   https://t.co/Gs0p1Xkg7g https://t.co/hUHgrADJ7q"	sallyshin
139	2017-05-09 12:29:31	@chamath @SquawkCNBC so so so glad to hear re: @IBM. Watson team told us they cud not do what I wanted re: emotion.	DeniseKShull
140	2017-05-09 12:42:34	"""@Chamath Palihapitiya: @IBMWatson is a joke https://t.co/t9FaMI7L0q  Ouch!"	invinciblesaad
141	2017-05-09 12:41:43	""" @Chamath Palihapitiya: @IBMWatson is a joke https://t.co/t9FaMI7L0q  Ouch!"	invinciblesaad
142	2017-05-09 13:19:48	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya - IBM IS THE REAL JOKE, NOT JUST WATSON!!!	BlackBlows1
143	2017-05-09 13:30:48	"Ouch IBM! @chamath says it like he sees it. ""Watson is a joke"" https://t.co/EqgLaDLNtv"	SuB8u
144	2017-05-09 13:54:10	oooooh geek fight! IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya [and IBM responds] https://t.co/DmtKVo4olB	rampurple
145	2017-05-09 14:18:05	I wouldn't call this a joke @chamath IBM's Watson supercomputer is bringing AI-fueled cancer care to Americans https://t.co/MbZWjpfAUg	clairejobe
146	2017-05-09 13:41:14	.@chamath calls Watson a joke, says data is key to AI. Yet IBM has more healthcare data than $GOOG, $FB, $AMZN combined.	jwan584
147	2017-05-09 14:06:54	"Chamath Palihapitiya  slams IBM for its  #AI  #Watson as a ""joke designed to convince people who have asymmetrically…https://t.co/wmSWGgDk4B"	hicham_aoubid
148	2017-05-09 14:13:27	#ArtificialIntelligence #AI No joke, I'd like to see my firm go head-to-head with IBM on A.I.: Palihapitiya https://t.co/JGIQiiPgDp	b4028465
149	2017-05-09 14:27:25	Fav clip of the day 🔥  Palihapitiya: IBM's Watson is a joke https://t.co/WvnGv9WRyl via @cnbc	jrichlive
150	2017-05-09 13:53:05	IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiya FYI @gregorydgirard  https://t.co/tx4OUn15GN	davehochman
151	2017-05-09 14:00:14	#DataAnalytics : IBM's Watson 'is a joke,' says Social Capital CEO Palihapitiy. https://t.co/I8B0gK1Prt	skirchacker
152	2017-05-09 14:26:56	@Chamath Palihapitiya will never build a company like Thomas J. Watson, the first CEO of IBM, because… https://t.co/ytHdsdIA6e	PatFrank15
153	2017-05-09 14:53:58	"@Chamath play the clip.  ""Game changer"" @IBMWatson @IBMSecurity @IBMFacts Not a joke! https://t.co/RUiXHEdksP"	PatFrank15
